frame_idx,track_id,class_name,x1,y1,x2,y2,cx,cy,vx,vy,confidence,age_frames
44,1,car,676.0,359.96,751.13,469.57,713.56,414.76,0,0,0.51,0
45,1,car,675.36,355.92,750.83,465.92,713.09,410.92,-0.4709,-3.8421,0.6644,1
46,1,car,674.4,353.7,749.84,463.48,712.12,408.59,-0.9769,-2.3283,0.7151,2
47,1,car,673.71,350.56,749.72,461.11,711.71,405.84,-0.4023,-2.7556,0.6578,3
48,1,car,673.17,348.03,749.19,458.59,711.18,403.31,-0.5318,-2.5279,0.0,4
49,1,car,672.63,345.49,748.67,456.07,710.65,400.78,-0.5318,-2.5279,0.0,5
50,1,car,671.33,343.24,745.15,450.7,708.24,396.97,-2.4104,-3.8116,0.5419,6
51,1,car,670.09,340.72,744.45,448.9,707.27,394.81,-0.9692,-2.1549,0.6373,7
52,1,car,668.5,338.45,742.94,446.41,705.72,392.43,-1.5508,-2.3862,0.5927,8
52,2,car,735.26,328.14,829.02,452.44,782.14,390.29,0,0,0.3837,0
53,1,car,667.9,335.71,741.58,442.23,704.74,388.97,-0.9788,-3.4596,0.655,9
53,2,car,734.02,325.96,825.81,447.69,779.92,386.82,-2.2236,-3.4684,0.4008,1
54,1,car,666.4,332.3,740.22,439.02,703.31,385.66,-1.4339,-3.3067,0.6906,10
54,2,car,733.3,323.05,824.48,444.0,778.89,383.53,-1.0241,-3.296,0.384,2
55,1,car,665.3,329.64,739.88,437.49,702.59,383.56,-0.7152,-2.0985,0.4177,11
55,2,car,732.57,320.86,823.16,441.02,777.87,380.94,-1.0222,-2.5866,0.0,3
56,1,car,663.93,327.02,738.99,435.66,701.46,381.34,-1.1349,-2.222,0.4629,12
56,2,car,731.85,318.67,821.85,438.04,776.85,378.35,-1.0222,-2.5866,0.0,4
57,1,car,663.16,324.51,738.65,433.79,700.9,379.15,-0.5571,-2.1895,0.4808,13
57,2,car,731.13,316.48,820.53,435.06,775.83,375.77,-1.0222,-2.5866,0.0,5
58,1,car,662.22,321.98,737.16,430.35,699.69,376.16,-1.2079,-2.9881,0.5559,14
58,2,car,730.4,314.28,819.21,432.08,774.8,373.18,-1.0222,-2.5866,0.0,6
59,1,car,661.28,319.38,736.17,427.67,698.73,373.52,-0.9666,-2.6381,0.0,15
59,2,car,728.94,308.1,819.18,427.93,774.06,368.01,-0.7414,-5.171,0.3607,7
60,1,car,660.34,316.77,735.18,425.0,697.76,370.89,-0.9666,-2.6381,0.0,16
60,2,car,728.11,305.39,818.04,424.79,773.08,365.09,-0.986,-2.9192,0.0,8
61,1,car,660.61,312.1,735.62,420.26,698.12,366.18,0.3566,-4.7063,0.4049,17
61,2,car,727.29,302.68,816.89,421.66,772.09,362.17,-0.986,-2.9192,0.0,9
62,1,car,659.89,309.41,733.4,415.19,696.65,362.3,-1.4701,-3.8851,0.5007,18
62,2,car,726.46,299.98,815.75,418.53,771.1,359.25,-0.986,-2.9192,0.0,10
63,1,car,658.2,306.06,731.32,411.13,694.76,358.59,-1.8886,-3.7011,0.5117,19
63,2,car,725.64,297.27,814.6,415.4,770.12,356.33,-0.986,-2.9192,0.0,11
64,1,car,657.0,303.62,728.96,406.69,692.98,355.16,-1.7782,-3.4384,0.4971,20
64,2,car,724.81,294.56,813.45,412.27,769.13,353.41,-0.986,-2.9192,0.0,12
65,1,car,656.09,300.81,727.67,403.32,691.88,352.07,-1.0996,-3.0901,0.0,21
65,2,car,723.98,291.86,812.31,409.13,768.15,350.5,-0.986,-2.9192,0.0,13
66,1,car,655.18,297.99,726.38,399.96,690.78,348.98,-1.0996,-3.0901,0.0,22
66,2,car,723.16,289.15,811.16,406.0,767.16,347.58,-0.986,-2.9192,0.0,14
67,1,car,654.28,295.18,725.08,396.59,689.68,345.89,-1.0996,-3.0901,0.0,23
67,2,car,722.33,286.44,810.01,402.87,766.17,344.66,-0.986,-2.9192,0.0,15
68,1,car,653.37,292.37,723.79,393.23,688.58,342.8,-1.0996,-3.0901,0.0,24
